Location,Date,Event,Person,Category,Scripture,Reference,Certainty,Latitude,Longitude
Tarsus,44 C.E.,Paul continues his ministry in his hometown of Tarsus.,Paul (Saul),Disciple,Acts 9:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Tarsus,45 C.E.,Paul is found by Barnabas and departs with him to Antioch.,Paul (Saul),Disciple,Acts 11:25-26,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Antioch,45 C.E.,Paul arrives in Syrian Antioch and spends a whole year teaching a large crowd in the congregation.,Paul (Saul),Disciple,Acts 11:26,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Antioch,46 C.E.,Paul departs for Jerusalem with Barnabas to carry out a relief ministration due to a major famine.,Paul (Saul),Disciple,Acts 11:29-30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,46 C.E.,Paul arrives in the city and completes the relief work before returning to Antioch.,Paul (Saul),Disciple,Acts 12:25,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Antioch,46 C.E.,Paul arrives back at his home base with Barnabas and John Mark.,Paul (Saul),Disciple,Acts 12:25,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Antioch,47 C.E.,Saul is set apart by holy spirit and departs with Barnabas on his first missionary tour.,Paul (Saul),Apostle,Acts 13:1-4,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Seleucia,47 C.E.,Paul arrives at the port town and sails away to Cyprus.,Paul (Saul),Apostle,Acts 13:4,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Salamis,47 C.E.,Paul arrives on Cyprus and begins proclaiming the word of God in the synagogues.,Paul (Saul),Apostle,Acts 13:5,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Paphos,47 C.E.,Paul arrives at the provincial capital and blinds the sorcerer Bar-Jesus leading to the conversion of Sergius Paulus.,Paul (Saul),Apostle,Acts 13:6-12,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Paphos,47 C.E.,Paul and his companions put out to sea from Paphos for Asia Minor.,Paul (Saul),Apostle,Acts 13:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Perga,47 C.E.,Paul arrives in Pamphylia where John Mark leaves his companions to return to Jerusalem.,Paul (Saul),Apostle,Acts 13:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Perga,47 C.E.,Paul departs from Perga and heads north through the mountains to Antioch in Pisidia.,Paul (Saul),Apostle,Acts 13:14,https://wol.jw.org/en/wol/d/r1/lp-e/1200003373,1,,
Antioch,47 C.E.,Paul arrives in Pisidian Antioch and gives a powerful witness in the synagogue on the Sabbath.,Paul (Saul),Apostle,Acts 13:14,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Antioch,48 C.E.,Paul is thrown out of the city due to Jewish instigation and departs for Iconium.,Paul (Saul),Apostle,Acts 13:50-51,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Iconium,48 C.E.,Paul arrives and speaks in the synagogue helping many Jews and Greeks to become believers.,Paul (Saul),Apostle,Acts 14:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Iconium,48 C.E.,Paul departs for Lystra after learning of a plot to stone him and Barnabas.,Paul (Saul),Apostle,Acts 14:5-6,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Lystra,48 C.E.,Paul arrives and heals a lame man but is later stoned by a mob and dragged outside the city.,Paul (Saul),Apostle,Acts 14:8-19,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Lystra,48 C.E.,Paul survives the stoning and departs for Derbe the following day.,Paul (Saul),Apostle,Acts 14:20,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Derbe,48 C.E.,Paul arrives and declares the good news making quite a few disciples.,Paul (Saul),Apostle,Acts 14:20-21,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Derbe,48 C.E.,"Paul departs to return to Lystra, Iconium, and Antioch to strengthen the disciples and appoint elders.",Paul (Saul),Apostle,Acts 14:21-23,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Perga,48 C.E.,Paul arrives and preaches in Perga before going to Attalia.,Paul (Saul),Apostle,Acts 14:24-25,https://wol.jw.org/en/wol/d/r1/lp-e/1200003373,1,,
Attalia,48 C.E.,Paul arrives at the port and departs by ship for Antioch in Syria.,Paul (Saul),Apostle,Acts 14:25-26,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Antioch,48 C.E.,Paul arrives back at his home base and reports to the congregation how God had opened the door to faith.,Paul (Saul),Apostle,Acts 14:26-27,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Antioch,49 C.E.,Paul departs for Jerusalem to settle a dispute regarding the circumcision of non-Jewish believers.,Paul (Saul),Apostle,Acts 15:2,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,49 C.E.,Paul arrives and meets with the apostles and older men who decide that circumcision is not a requirement for Gentiles.,Paul (Saul),Apostle,Acts 15:4-29,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,49 C.E.,Paul departs for Antioch to deliver the letter from the governing body.,Paul (Saul),Apostle,Acts 15:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Antioch,49 C.E.,Paul arrives and stays for some time teaching and declaring the good news.,Paul (Saul),Apostle,Acts 15:30-35,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Antioch,49 C.E.,Paul departs with Silas on his second missionary tour after a sharp burst of anger separates him from Barnabas.,Paul (Saul),Apostle,Acts 15:40-41,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Lystra,49 C.E.,Paul arrives and selects the young man Timothy to accompany him and he also circumcises him.,Paul (Saul),Apostle,Acts 16:1-3,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Phrygia,49 C.E.,Paul and his companions travel through the eastern part of old Phrygia.,Paul (Saul),Apostle,Acts 16:6,https://wol.jw.org/en/wol/d/r1/lp-e/1200003477,1,,
Troas,50 C.E.,Paul arrives and sees a vision of a Macedonian man entreating him for help.,Paul (Saul),Apostle,Acts 16:8-10,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Troas,50 C.E.,Paul and his missionary companions sail from Troas for Macedonia in Europe.,Paul (Saul),Apostle,Acts 16:11,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Neapolis,50 C.E.,Paul arrives at the port of Philippi in NE Macedonia.,Paul (Saul),Apostle,Acts 16:11,https://wol.jw.org/en/wol/d/r1/lp-e/1200002888,1,,
Philippi,50 C.E.,Paul arrives and is eventually imprisoned with Silas but miraculously released by an earthquake.,Paul (Saul),Apostle,Acts 16:12-40,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Philippi,50 C.E.,Paul departs for Thessalonica via Amphipolis and Apollonia.,Paul (Saul),Apostle,Acts 17:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Thessalonica,50 C.E.,Paul arrives and reasons from the Scriptures for three Sabbaths but departs by night due to a riot.,Paul (Saul),Apostle,Acts 17:1-10,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Beroea,50 C.E.,Paul arrives and preaches to noble-minded Jews who carefully examine the Scriptures daily.,Paul (Saul),Apostle,Acts 17:10-14,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Beroea,50 C.E.,Paul departs for the sea due to trouble caused by Jews from Thessalonica.,Paul (Saul),Apostle,Acts 17:14,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Athens,50 C.E.,Paul arrives and speaks to the philosophers on the Areopagus about the Unknown God.,Paul (Saul),Apostle,Acts 17:15-34,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Athens,50 C.E.,Paul departs alone from Athens to travel to Corinth.,Paul (Saul),Apostle,Acts 18:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200001279,1,,
Corinth,50 C.E.,Paul arrives and joins Aquila and Priscilla in tentmaking while establishing a new congregation.,Paul (Saul),Apostle,Acts 18:1-11,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Corinth,51 C.E.,Paul stays in the city for eighteen months teaching the word of God among the people.,Paul (Saul),Apostle,Acts 18:11,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Corinth,52 C.E.,Paul is brought before the judgment seat of Gallio and departs from the city.,Paul (Saul),Apostle,Acts 18:12-18,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Cenchreae,52 C.E.,Paul arrives at the port and has his hair clipped short because of a vow.,Paul (Saul),Apostle,Acts 18:18,https://wol.jw.org/en/wol/d/r1/lp-e/1200000909,1,,
Cenchreae,52 C.E.,Paul sails from Cenchreae for Syria accompanied by Priscilla and Aquila.,Paul (Saul),Apostle,Acts 18:18,https://wol.jw.org/en/wol/d/r1/lp-e/1200000909,1,,
Ephesus,52 C.E.,Paul arrives and reasons with the Jews in the synagogue but soon departs for Caesarea.,Paul (Saul),Apostle,Acts 18:19-21,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Caesarea,52 C.E.,Paul arrives at the seaport and then goes up to Jerusalem.,Paul (Saul),Apostle,Acts 18:22,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,52 C.E.,Paul arrives and greets the congregation before going down to Antioch.,Paul (Saul),Apostle,Acts 18:22,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Antioch,52 C.E.,Paul arrives back at his home base and spends some time there.,Paul (Saul),Apostle,Acts 18:22,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Antioch,52 C.E.,Paul departs on his third missionary tour through Galatia and Phrygia.,Paul (Saul),Apostle,Acts 18:23,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Ephesus,52 C.E.,Paul arrives and finds several disciples who are rebaptized after his clarification.,Paul (Saul),Apostle,Acts 19:1-7,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Ephesus,53 C.E.,Paul preaches in the synagogue for three months and then daily in the school of Tyrannus.,Paul (Saul),Apostle,Acts 19:8-10,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Ephesus,54 C.E.,Paul continues his ministry in the school of Tyrannus and preaching from house to house.,Paul (Saul),Apostle,Acts 19:10,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Ephesus,55 C.E.,Paul departs for Macedonia after a riot instigated by the silversmith Demetrius.,Paul (Saul),Apostle,Acts 20:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Troas,55 C.E.,Paul stops at Troas but departs for Macedonia after not meeting Titus.,Paul (Saul),Apostle,2 Corinthians 2:12-13,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Macedonia,55 C.E.,Paul arrives and is joined by Titus before writing his second letter to the Corinthians.,Paul (Saul),Apostle,2 Corinthians 7:5-7,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Corinth,55 C.E.,Paul arrives in Greece and stays for three months during the winter.,Paul (Saul),Apostle,Acts 20:2-3,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Corinth,56 C.E.,Paul departs and returns through Macedonia due to a plot by the Jews.,Paul (Saul),Apostle,Acts 20:3,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Troas,56 C.E.,Paul arrives and stays for seven days resurrecting the young man Eutychus.,Paul (Saul),Apostle,Acts 20:6-12,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Assos,56 C.E.,Paul arrives by foot and joins his companions on a ship.,Paul (Saul),Apostle,Acts 20:13-14,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Miletus,56 C.E.,Paul arrives and summons the older men of the Ephesian congregation for a meeting.,Paul (Saul),Apostle,Acts 20:17-38,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Tyre,56 C.E.,Paul arrives and is repeatedly warned through the spirit not to set foot in Jerusalem.,Paul (Saul),Apostle,Acts 21:3-4,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Ptolemais,56 C.E.,Paul arrives and spends the day visiting the brothers before traveling on.,Paul (Saul),Apostle,Acts 21:7,https://wol.jw.org/en/wol/d/r1/lp-e/1200000071,1,,
Caesarea,56 C.E.,Paul arrives and stays with Philip where Agabus prophesies his impending arrest.,Paul (Saul),Apostle,Acts 21:8-11,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,56 C.E.,Paul arrives and is arrested in the temple after being mobbed by Jews from Asia.,Paul (Saul),Apostle,Acts 21:17-33,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,56 C.E.,Paul stands trial before the Sanhedrin where he introduces the subject of the resurrection.,Paul (Saul),Apostle,Acts 22:24-23:10,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Jerusalem,56 C.E.,Paul departs for Caesarea under heavy guard after a plot against his life is discovered.,Paul (Saul),Prisoner,Acts 23:12-31,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Caesarea,56 C.E.,Paul arrives and is delivered to Governor Felix for trial.,Paul (Saul),Prisoner,Acts 23:33-35,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Caesarea,57 C.E.,Paul remains in custody as Felix hopes for a bribe to release him.,Paul (Saul),Prisoner,Acts 24:26-27,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Caesarea,58 C.E.,Paul stands trial before Festus and appeals to Caesar before departing for Rome.,Paul (Saul),Prisoner,Acts 25:1-12,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Caesarea,58 C.E.,Paul departs by ship as a prisoner in the custody of Julius.,Paul (Saul),Prisoner,Acts 27:1,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Sidon,58 C.E.,Paul arrives at Sidon and is permitted to visit his friends.,Paul (Saul),Prisoner,Acts 27:3,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Myra,58 C.E.,Paul arrives and transfers to a grain ship from Alexandria bound for Italy.,Paul (Saul),Prisoner,Acts 27:5-6,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Cnidus,58 C.E.,Paul arrives with difficulty after quite a number of days due to adverse winds.,Paul (Saul),Prisoner,Acts 27:7,https://wol.jw.org/en/wol/d/r1/lp-e/1200000997,1,,
Fair Havens,58 C.E.,Paul arrives and recommends wintering there but his counsel is ignored.,Paul (Saul),Prisoner,Acts 27:8-12,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Malta,58 C.E.,Paul is shipwrecked on the island and survive a viper bite while healing many.,Paul (Saul),Prisoner,Acts 27:41-28:10,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Malta,59 C.E.,Paul departs on a ship from Alexandria after staying three months.,Paul (Saul),Prisoner,Acts 28:11,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Rhegium,59 C.E.,Paul arrives at the southern tip of Italy for a stop.,Paul (Saul),Prisoner,Acts 28:13,https://wol.jw.org/en/wol/d/r1/lp-e/1200003723,1,,
Puteoli,59 C.E.,Paul arrives and spends one week with the Christian brothers.,Paul (Saul),Prisoner,Acts 28:13-14,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Rome,59 C.E.,Paul arrives and is permitted to stay in his own hired house under soldier guard.,Paul (Saul),Prisoner,Acts 28:16-31,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Rome,60 C.E.,Paul remains in captivity for two years preaching the Kingdom of God.,Paul (Saul),Prisoner,Acts 28:30,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Rome,61 C.E.,Paul completes his first imprisonment and is released by Caesar Nero.,Paul (Saul),Apostle,Acts 28:30-31,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Crete,61 C.E.,Paul arrives and resumes his missionary activity before leaving Titus on the island.,Paul (Saul),Apostle,Titus 1:5,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Macedonia,62 C.E.,Paul arrives and revisits congregations possibly writing his first letter to Timothy.,Paul (Saul),Apostle,1 Timothy 1:3,https://wol.jw.org/en/wol/d/r1/lp-e/1200003406,1,,
Ephesus,63 C.E.,Paul arrives and encourages Timothy to stay in the city while Paul goes to Macedonia.,Paul (Saul),Apostle,1 Timothy 1:3,https://wol.jw.org/en/wol/d/r1/lp-e/1200004417,1,,
Nicopolis,64 C.E.,Paul arrives to spend the winter and is possibly arrested there.,Paul (Saul),Apostle,Titus 3:12,https://wol.jw.org/en/wol/d/r1/lp-e/1200003251,1,,
